"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","8,142.45","8,464.27","8,535.81","8,128.30","769.10K","-4.89%"
"02/01/2026","8,560.84","8,166.74","8,561.29","7,950.01","4.13M","3.71%"
"01/01/2026","8,254.86","7,639.54","8,530.42","7,623.75","7.36M","8.68%"
"12/01/2025","7,595.28","7,356.51","7,644.84","7,143.61","5.24M","3.56%"
"11/01/2025","7,334.21","7,507.37","7,604.89","7,064.60","5.09M","-2.30%"
"10/01/2025","7,506.67","7,623.30","7,671.17","7,176.96","4.46M","-0.90%"
"09/01/2025","7,574.96","7,475.00","7,665.97","6,939.67","6.50M","1.83%"
"08/01/2025","7,438.68","6,665.64","7,565.35","6,625.93","6.48M","11.67%"
"07/01/2025","6,661.19","6,358.06","6,773.88","6,285.00","5.81M","4.80%"
"06/01/2025","6,356.18","6,009.18","6,358.03","5,965.66","4.23M","5.47%"
"05/01/2025","6,026.56","5,993.33","6,220.44","5,971.35","3.62M","1.28%"
"04/01/2025","5,950.12","6,242.07","6,316.64","5,224.97","4.43M","-4.44%"
"03/01/2025","6,226.65","6,291.05","6,642.86","6,143.65","5.17M","-0.70%"
"02/01/2025","6,270.42","5,900.51","6,550.10","5,851.60","5.31M","7.26%"
"01/01/2025","5,846.07","5,948.68","5,991.85","5,457.51","3.72M","-1.87%"
"12/01/2024","5,957.72","6,188.80","6,497.89","5,957.72","6.23M","-3.74%"
"11/01/2024","6,189.13","6,100.79","6,616.16","5,857.00","7.07M","1.18%"
"10/01/2024","6,116.66","6,437.11","6,437.11","5,346.42","6.12M","7.14%"
"09/01/2024","5,708.83","4,627.18","5,732.57","4,342.21","3.26M","23.31%"
"08/01/2024","4,629.77","4,894.81","4,933.06","4,437.52","","-5.27%"
"07/01/2024","4,887.52","4,894.56","4,954.18","4,587.72","","-0.21%"
"06/01/2024","4,897.79","5,350.64","5,351.14","4,812.10","","-8.58%"
"05/01/2024","5,357.47","5,558.92","5,641.92","5,295.09","","-2.54%"
"04/01/2024","5,497.35","5,461.59","5,559.84","5,063.94","","1.05%"
"03/01/2024","5,440.21","5,354.73","5,690.45","5,262.22","","1.82%"
"02/01/2024","5,342.83","4,753.64","5,477.99","4,177.94","","11.56%"
"01/01/2024","4,789.21","5,891.17","5,891.23","4,775.62","","-18.65%"
"12/01/2023","5,887.12","6,078.64","6,147.05","5,632.87","","-3.17%"
"11/01/2023","6,079.78","5,969.81","6,267.21","5,885.55","","1.81%"
"10/01/2023","5,971.93","6,073.28","6,106.95","5,613.91","","-1.81%"
"09/01/2023","6,081.74","6,108.13","6,212.24","5,923.24","","-0.37%"
"08/01/2023","6,104.30","6,513.14","6,561.74","5,855.88","","-6.32%"
"07/01/2023","6,516.28","6,617.08","6,642.55","6,369.37","","-1.31%"
"06/01/2023","6,602.49","6,539.26","6,717.71","6,367.35","","0.64%"
"05/01/2023","6,560.53","6,701.49","6,738.22","6,424.50","","-2.42%"
"04/01/2023","6,723.37","6,952.15","7,052.74","6,517.27","","-2.19%"
"03/01/2023","6,874.13","6,955.48","7,021.11","6,677.69","","-1.16%"
"02/01/2023","6,954.78","6,815.06","7,098.92","6,812.79","","2.22%"
"01/01/2023","6,803.63","6,286.81","6,839.84","6,275.69","","8.31%"
"12/01/2022","6,281.68","6,645.47","6,732.05","6,120.94","","-4.60%"
"11/01/2022","6,584.32","6,299.03","6,776.74","6,277.69","","4.65%"
"10/01/2022","6,291.83","6,136.71","6,554.37","5,918.02","","2.71%"
"09/01/2022","6,125.63","6,757.01","6,989.75","6,123.99","","-9.23%"
"08/01/2022","6,748.62","7,100.71","7,369.41","6,738.52","","-5.22%"
"07/01/2022","7,120.52","6,999.68","7,196.53","6,737.88","","1.79%"
"06/01/2022","6,995.57","6,332.39","7,081.28","6,316.58","","10.13%"
"05/01/2022","6,351.92","5,723.18","6,356.55","5,665.93","","10.77%"
"04/01/2022","5,734.28","6,723.26","6,790.67","5,164.83","","-15.33%"
"03/01/2022","6,772.53","7,433.75","7,454.90","6,330.41","","-8.69%"
"02/01/2022","7,417.21","7,080.61","7,481.14","6,928.90","","6.30%"
"01/01/2022","6,977.31","8,045.10","8,060.99","6,861.47","","-12.90%"
"12/01/2021","8,011.00","8,050.89","8,068.36","7,713.92","","-0.46%"
"11/01/2021","8,047.77","7,374.45","8,082.90","7,301.65","","8.99%"
"10/01/2021","7,383.72","7,501.24","7,583.13","7,125.57","","-0.30%"
"09/01/2021","7,405.68","7,738.27","8,042.52","7,200.71","","-4.18%"
"08/01/2021","7,728.42","7,264.37","7,792.52","7,249.15","","6.42%"
"07/01/2021","7,262.38","7,094.19","7,473.14","6,750.58","","2.52%"
"06/01/2021","7,083.70","6,810.47","7,083.99","6,668.11","","3.95%"
